epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.13485,0.73309,0.85714,1,0.38941,0.00015003,0.00015003,0.00015003
2,16.3119,0.4211,0.97619,1,0.11208,0.000310459,0.000310459,0.000310459
3,22.0014,0.24661,0.97619,1,0.04438,0.000464286,0.000464286,0.000464286
4,27.7832,0.17909,1,1,0.02573,0.000611512,0.000611512,0.000611512
5,34.0335,0.19265,0.97619,1,0.06454,0.000752137,0.000752137,0.000752137
6,40.5259,0.22811,0.95238,1,0.18073,0.000886161,0.000886161,0.000886161
7,46.5388,0.22746,0.95238,1,0.03302,0.00101358,0.00101358,0.00101358
8,52.3774,0.14115,0.97619,1,0.01362,0.0011344,0.0011344,0.0011344
9,58.1944,0.21025,0.95238,1,0.07405,0.00124862,0.00124862,0.00124862
