epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.76935,0.65812,0.7619,1,0.45491,0.00030006,0.00030006,0.00030006
2,13.8026,0.47149,0.83333,1,0.43618,0.000604578,0.000604578,0.000604578
3,20.0833,0.31786,0.85714,1,0.31378,0.000896553,0.000896553,0.000896553
4,27.0901,0.25992,0.90476,1,0.25976,0.00117599,0.00117599,0.00117599
5,33.3047,0.38724,0.88095,1,0.27934,0.00144288,0.00144288,0.00144288
6,39.2693,0.20896,0.92857,1,0.27052,0.00150197,0.00150197,0.00150197
7,45.6563,0.141,0.92857,1,0.30731,0.00146896,0.00146896,0.00146896
8,51.5258,0.26948,0.90476,1,0.22534,0.00143595,0.00143595,0.00143595
9,57.6731,0.23127,0.92857,1,0.19485,0.00140295,0.00140295,0.00140295
10,64.3498,0.23621,0.92857,1,0.15991,0.00136994,0.00136994,0.00136994
11,70.0622,0.16002,0.88095,1,0.21144,0.00133693,0.00133693,0.00133693
12,76.1397,0.19125,0.95238,1,0.36058,0.00130393,0.00130393,0.00130393
