epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.21269,0.70832,0.88095,1,0.42866,0.0001667,0.0001667,0.0001667
2,18.512,0.42112,0.95238,1,0.19756,0.000332742,0.000332742,0.000332742
3,25.7155,0.26186,1,1,0.06456,0.000480629,0.000480629,0.000480629
4,32.7513,0.22295,0.97619,1,0.05462,0.000610364,0.000610364,0.000610364
5,39.397,0.2219,0.92857,1,0.16044,0.000721944,0.000721944,0.000721944
6,46.1932,0.12064,0.95238,1,0.0634,0.000815371,0.000815371,0.000815371
7,52.9846,0.20014,1,1,0.0004,0.000890645,0.000890645,0.000890645
8,59.9898,0.16745,1,1,0.00802,0.000947765,0.000947765,0.000947765
