epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.40862,0.70832,0.89583,1,0.40009,0.0001667,0.0001667,0.0001667
2,13.5427,0.41982,0.95833,1,0.15144,0.000343139,0.000343139,0.000343139
3,19.1766,0.2601,1,1,0.06966,0.000512316,0.000512316,0.000512316
4,24.783,0.2209,0.97917,1,0.05573,0.000674231,0.000674231,0.000674231
5,30.327,0.21272,0.875,1,0.19315,0.000828886,0.000828886,0.000828886
6,35.9587,0.13556,0.95833,1,0.03785,0.000976279,0.000976279,0.000976279
7,41.45,0.17832,1,1,0.00048,0.00111641,0.00111641,0.00111641
8,47.2441,0.13052,1,1,0.03189,0.00124928,0.00124928,0.00124928
9,52.7555,0.22568,0.95833,1,0.07648,0.00137489,0.00137489,0.00137489
10,58.3859,0.24686,1,1,0.01016,0.00136994,0.00136994,0.00136994
11,64.0465,0.15739,0.97917,1,0.06388,0.00133693,0.00133693,0.00133693
12,70.1118,0.16154,0.97917,1,0.06068,0.00130393,0.00130393,0.00130393
13,76.0606,0.18879,0.97917,1,0.08945,0.00127092,0.00127092,0.00127092
14,82.0578,0.09563,0.97917,1,0.07914,0.00123791,0.00123791,0.00123791
15,88.1358,0.14063,0.83333,1,0.23052,0.00120491,0.00120491,0.00120491
16,95.0038,0.19113,0.83333,1,0.25393,0.0011719,0.0011719,0.0011719
17,101.766,0.13802,0.75,1,0.55072,0.00113889,0.00113889,0.00113889
18,107.697,0.06565,0.625,1,1.10639,0.00110589,0.00110589,0.00110589
19,113.325,0.16832,0.77083,1,0.8086,0.00107288,0.00107288,0.00107288
20,119.224,0.06734,0.95833,1,0.09376,0.00103987,0.00103987,0.00103987
21,124.927,0.14711,0.97917,1,0.07766,0.00100687,0.00100687,0.00100687
22,130.854,0.23414,1,1,0.04511,0.000973861,0.000973861,0.000973861
23,136.627,0.12624,1,1,0.03048,0.000940855,0.000940855,0.000940855
24,143.218,0.10003,1,1,0.02572,0.000907848,0.000907848,0.000907848
25,150.053,0.13248,1,1,0.0163,0.000874842,0.000874842,0.000874842
26,156.927,0.11245,1,1,0.05001,0.000841835,0.000841835,0.000841835
27,163.735,0.10298,0.97917,1,0.06794,0.000808828,0.000808828,0.000808828
28,170.348,0.11181,0.97917,1,0.03791,0.000775822,0.000775822,0.000775822
29,176.687,0.07366,1,1,0.01338,0.000742815,0.000742815,0.000742815
30,182.33,0.11899,0.97917,1,0.03549,0.000709809,0.000709809,0.000709809
31,188.188,0.20236,1,1,0.01541,0.000676802,0.000676802,0.000676802
32,193.793,0.06807,0.97917,1,0.01931,0.000643795,0.000643795,0.000643795
33,199.418,0.06576,0.97917,1,0.02514,0.000610789,0.000610789,0.000610789
34,205.128,0.08908,0.95833,1,0.0948,0.000577782,0.000577782,0.000577782
35,210.756,0.06024,0.95833,1,0.07205,0.000544776,0.000544776,0.000544776
36,216.863,0.10967,0.97917,1,0.05546,0.000511769,0.000511769,0.000511769
37,222.802,0.06435,0.97917,1,0.03242,0.000478762,0.000478762,0.000478762
38,228.741,0.04939,1,1,0.03317,0.000445756,0.000445756,0.000445756
39,234.586,0.04638,0.97917,1,0.03328,0.000412749,0.000412749,0.000412749
40,240.396,0.05227,0.91667,1,0.14478,0.000379743,0.000379743,0.000379743
41,246.085,0.07446,0.91667,1,0.2006,0.000346736,0.000346736,0.000346736
42,251.679,0.05828,0.91667,1,0.15913,0.000313729,0.000313729,0.000313729
43,257.445,0.068,0.91667,1,0.14777,0.000280723,0.000280723,0.000280723
44,263.124,0.03614,0.89583,1,0.2337,0.000247716,0.000247716,0.000247716
45,269.234,0.03936,0.91667,1,0.12637,0.00021471,0.00021471,0.00021471
46,275.034,0.06781,0.9375,1,0.12245,0.000181703,0.000181703,0.000181703
47,280.906,0.03992,0.9375,1,0.10175,0.000148696,0.000148696,0.000148696
48,286.534,0.02041,0.9375,1,0.11445,0.00011569,0.00011569,0.00011569
49,292.309,0.02868,0.9375,1,0.11028,8.26832e-05,8.26832e-05,8.26832e-05
50,298.055,0.04351,0.9375,1,0.08006,4.96766e-05,4.96766e-05,4.96766e-05
