epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,14.1791,0.70846,0.90476,1,0.36547,0.0001667,0.0001667,0.0001667
2,28.78,0.46274,1,1,0.17364,0.000349984,0.000349984,0.000349984
3,42.6606,0.27358,0.92857,1,0.19304,0.000532919,0.000532919,0.000532919
4,55.5673,0.2474,0.92857,1,0.20778,0.000715235,0.000715235,0.000715235
5,68.0974,0.16305,0.95238,1,0.14152,0.000896666,0.000896666,0.000896666
6,80.8277,0.19451,0.90476,1,0.18381,0.00107695,0.00107695,0.00107695
7,93.3289,0.17083,0.90476,1,0.18151,0.00125581,0.00125581,0.00125581
8,106.591,0.31197,0.78571,1,1.30402,0.001433,0.001433,0.001433
9,119.477,0.25955,0.83333,1,0.29596,0.00160825,0.00160825,0.00160825
10,132.517,0.32588,0.92857,1,0.16343,0.00163424,0.00163424,0.00163424
11,145.496,0.24415,0.97619,1,0.24444,0.00162661,0.00162661,0.00162661
12,158.619,0.20884,0.92857,1,0.12189,0.00161822,0.00161822,0.00161822
13,170.988,0.13149,0.97619,1,0.03482,0.00160905,0.00160905,0.00160905
14,183.156,0.15482,0.69048,1,2.58383,0.00159913,0.00159913,0.00159913
15,195.305,0.2424,0.95238,1,0.0644,0.00158847,0.00158847,0.00158847
16,207.665,0.18564,0.92857,1,0.20151,0.00157706,0.00157706,0.00157706
17,220.415,0.15498,0.71429,1,0.83366,0.00156493,0.00156493,0.00156493
