epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,86.9658,0.63393,0.92857,1,0.25551,0.00035007,0.00035007,0.00035007
2,176.189,0.43196,0.95238,1,0.17221,0.00071611,0.00071611,0.00071611
3,261.04,0.3981,0.38095,1,1.44131,0.00107932,0.00107932,0.00107932
4,345.891,0.40152,0.59524,1,1.23604,0.00143757,0.00143757,0.00143757
5,432.018,0.32544,0.92857,1,0.21261,0.00164108,0.00164108,0.00164108
6,520.278,0.43283,0.54762,1,1.82737,0.00162661,0.00162661,0.00162661
7,605.78,0.22658,0.7381,1,7.27267,0.00160905,0.00160905,0.00160905
8,691.04,0.28806,0.69048,1,1.06899,0.00158847,0.00158847,0.00158847
9,781.253,0.21078,0.54762,1,0.92218,0.00156493,0.00156493,0.00156493
10,873.967,0.4187,0.80952,1,0.40383,0.00153854,0.00153854,0.00153854
11,966.562,0.23552,0.92857,1,0.21084,0.00150941,0.00150941,0.00150941
12,1054.49,0.26891,0.45238,1,6.70564,0.00147764,0.00147764,0.00147764
