epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.03676,0.65669,0.8785,1,0.36495,0.00043342,0.00043342,0.00043342
2,12.8462,0.56183,0.93458,1,0.17762,0.000866017,0.000866017,0.000866017
3,19.5752,0.36018,0.91589,1,0.21321,0.00128079,0.00128079,0.00128079
4,26.057,0.33245,0.94393,1,0.18712,0.00156798,0.00156798,0.00156798
5,31.9114,0.31587,0.97196,1,0.10034,0.00153497,0.00153497,0.00153497
6,37.4343,0.31399,0.90654,1,0.13905,0.00150197,0.00150197,0.00150197
7,43.4432,0.30859,0.96262,1,0.08292,0.00146896,0.00146896,0.00146896
8,50.187,0.37565,0.99065,1,0.05098,0.00143595,0.00143595,0.00143595
9,56.8003,0.34622,0.98131,1,0.06474,0.00140295,0.00140295,0.00140295
10,62.6028,0.26571,0.94393,1,0.15295,0.00136994,0.00136994,0.00136994
11,69.2593,0.30094,0.91589,1,0.1749,0.00133693,0.00133693,0.00133693
12,75.6258,0.24617,0.99065,1,0.03714,0.00130393,0.00130393,0.00130393
13,81.7575,0.3169,0.99065,1,0.04093,0.00127092,0.00127092,0.00127092
14,87.5117,0.28675,0.96262,1,0.08885,0.00123791,0.00123791,0.00123791
15,94.0004,0.21826,0.97196,1,0.06111,0.00120491,0.00120491,0.00120491
16,100.456,0.17948,0.99065,1,0.03493,0.0011719,0.0011719,0.0011719
17,106.852,0.15821,0.98131,1,0.05307,0.00113889,0.00113889,0.00113889
18,112.161,0.17785,0.98131,1,0.04394,0.00110589,0.00110589,0.00110589
