epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.6429,1.5385,2.74133,1.59508,0.00938,0.8913,0.61047,0.31034,1.40394,2.47913,1.24334,0.00036,0.00036,0.00036
2,94.9098,1.52208,2.34106,1.51242,0.73175,0.63043,0.65271,0.36441,1.49466,1.74076,1.38459,0.000739277,0.000739277,0.000739277
3,144.84,1.65045,2.0364,1.5298,0.57708,0.76087,0.56354,0.28684,1.43862,1.68125,1.20285,0.00111563,0.00111563,0.00111563
4,195.06,1.47229,1.93654,1.4578,0.4824,0.52174,0.45849,0.24563,1.70902,3.77442,1.5536,0.00148685,0.00148685,0.00148685
5,233.884,1.54275,1.86079,1.48636,0.37645,0.52174,0.37615,0.22272,1.94502,4.62706,1.95426,0.00185076,0.00185076,0.00185076
6,261.975,1.5919,1.86127,1.56164,0.41817,0.47826,0.34303,0.1867,1.91265,2.16636,1.84452,0.00195155,0.00195155,0.00195155
7,291.756,1.4858,1.78401,1.51133,0.4947,0.3913,0.43988,0.23687,1.93126,2.06195,1.71409,0.00193048,0.00193048,0.00193048
8,315.744,1.60786,1.78793,1.52898,0.40457,0.69565,0.56216,0.30179,1.55854,2.758,1.38848,0.00190578,0.00190578,0.00190578
9,344.371,1.49777,1.7394,1.48322,0.70203,0.71739,0.69513,0.42006,1.58008,2.07282,1.46107,0.00187754,0.00187754,0.00187754
10,375.094,1.45859,1.84755,1.45432,0.7711,0.54348,0.5863,0.3671,1.63649,2.12962,1.47566,0.00184588,0.00184588,0.00184588
11,406.378,1.50343,1.75928,1.47674,0.63587,0.54348,0.56223,0.28182,1.66855,3.26217,1.54213,0.00181093,0.00181093,0.00181093
12,442.745,1.45022,1.61619,1.47166,0.65571,0.6087,0.67426,0.38735,1.37889,2.26561,1.27395,0.00177281,0.00177281,0.00177281
13,480.056,1.47724,1.66994,1.45209,0.64093,0.69852,0.72922,0.39614,1.4258,2.01984,1.31203,0.00173168,0.00173168,0.00173168
14,515.291,1.44719,1.6408,1.43913,0.80995,0.64862,0.76091,0.45291,1.33432,1.83099,1.22117,0.0016877,0.0016877,0.0016877
15,557.068,1.42344,1.57074,1.46277,0.84026,0.63043,0.76408,0.48934,1.28656,1.64041,1.1648,0.00164105,0.00164105,0.00164105
16,596.376,1.45101,1.53615,1.44937,0.82363,0.73913,0.83772,0.54572,1.20994,1.37897,1.11277,0.00159191,0.00159191,0.00159191
17,637.622,1.41625,1.56569,1.42121,0.74983,0.69565,0.75422,0.44519,1.36085,1.51025,1.23836,0.00154047,0.00154047,0.00154047
18,680.544,1.34158,1.51158,1.39053,0.76578,0.73913,0.76322,0.48048,1.29462,1.3022,1.14304,0.00148694,0.00148694,0.00148694
19,722.428,1.37165,1.49566,1.43516,0.77526,0.71739,0.78743,0.555,1.27435,1.2338,1.12609,0.00143152,0.00143152,0.00143152
20,764.364,1.26951,1.42148,1.35733,0.66503,0.60431,0.72335,0.40426,1.50246,1.51706,1.34365,0.00137444,0.00137444,0.00137444
21,803.496,1.31265,1.47013,1.38532,0.77733,0.73913,0.83783,0.554,1.15115,1.30372,1.08533,0.00131593,0.00131593,0.00131593
22,843.306,1.38419,1.53483,1.42375,0.90403,0.81924,0.86301,0.57983,1.24399,1.24213,1.12181,0.0012562,0.0012562,0.0012562
23,883.216,1.27731,1.44241,1.36965,0.8681,0.80435,0.87816,0.58464,1.26803,1.2416,1.10349,0.00119551,0.00119551,0.00119551
24,918.421,1.2694,1.45495,1.35493,0.79903,0.73913,0.79973,0.48789,1.32398,1.40986,1.12349,0.00113408,0.00113408,0.00113408
25,961.662,1.30632,1.43038,1.37612,0.8083,0.71739,0.777,0.47826,1.28495,1.49506,1.14674,0.00107216,0.00107216,0.00107216
26,1001.46,1.27716,1.39829,1.33478,0.81627,0.84783,0.82554,0.56431,1.18535,1.24271,1.07214,0.00101,0.00101,0.00101
27,1043.51,1.18133,1.3595,1.30062,0.91931,0.74306,0.84453,0.58579,1.15901,1.16124,1.06782,0.000947837,0.000947837,0.000947837
28,1089.56,1.24148,1.34174,1.29881,0.91456,0.69816,0.82034,0.57385,1.10171,1.27187,1.06314,0.00088592,0.00088592,0.00088592
29,1131.38,1.16003,1.32379,1.31197,0.8362,0.73913,0.8181,0.57663,1.16994,1.29906,1.06741,0.000824492,0.000824492,0.000824492
30,1173.59,1.13538,1.29065,1.28894,0.79825,0.68825,0.7788,0.54451,1.17767,1.35983,1.06859,0.000763797,0.000763797,0.000763797
31,1213.4,1.16281,1.26878,1.27496,0.79341,0.75154,0.83145,0.52689,1.16482,1.27153,1.10513,0.000704073,0.000704073,0.000704073
32,1257.77,1.13425,1.2506,1.28327,0.87136,0.76087,0.85654,0.52848,1.20895,1.25471,1.14195,0.000645557,0.000645557,0.000645557
33,1297.69,1.21888,1.33533,1.32103,0.70449,0.84783,0.84546,0.55725,1.15197,1.15122,1.05528,0.000588479,0.000588479,0.000588479
