epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,239.505,2.01977,2.97973,2.03369,0.00381,0.03395,0.00198,0.0006,3.58446,3.6808,2.44641,0.00018,0.00018,0.00018
2,322.805,1.8087,2.60915,1.8979,0.00357,0.03182,0.00217,0.00072,3.52841,3.67146,2.55543,0.000372476,0.000372476,0.000372476
3,400.172,1.75739,2.38901,1.82252,0.00444,0.0396,0.00382,0.00101,3.67486,3.64519,2.85285,0.000557032,0.000557032,0.000557032
4,479.665,1.75219,2.32603,1.80566,0.00643,0.05728,0.00378,0.00138,3.63641,3.66827,3.0287,0.000733668,0.000733668,0.000733668
5,558.131,1.73151,2.32281,1.80045,0.00563,0.05021,0.00303,0.00092,3.76769,3.65526,3.37102,0.000902384,0.000902384,0.000902384
6,635.061,1.79684,2.37441,1.84371,0.00635,0.05658,0.00356,0.00107,3.7575,3.80873,3.09423,0.00106318,0.00106318,0.00106318
7,711.015,1.69967,2.2995,1.81071,0.00548,0.0488,0.00308,0.00089,3.76105,4.07746,2.95144,0.00121606,0.00121606,0.00121606
8,787.675,1.75376,2.27175,1.82124,0.00659,0.0587,0.00389,0.00119,3.78526,3.85758,2.8748,0.00136101,0.00136101,0.00136101
9,863.856,1.83573,2.28011,1.86197,0.01008,0.08982,0.00599,0.00168,3.86051,3.92273,3.11433,0.00149805,0.00149805,0.00149805
10,940.73,1.79361,2.2541,1.83895,0.00762,0.06789,0.00417,0.00125,3.80835,4.08794,3.07616,0.00162716,0.00162716,0.00162716
11,1018.18,1.7908,2.26867,1.87324,0.00492,0.04385,0.00261,0.00075,3.92006,4.36457,3.2471,0.001604,0.001604,0.001604
12,1094.65,1.81284,2.27659,1.87138,0.00805,0.07143,0.00442,0.0014,3.6692,4.33232,2.82435,0.0015644,0.0015644,0.0015644
13,2137.7,1.74823,2.22845,1.83778,0.00558,0.0495,0.003,0.0008,3.58034,4.36219,2.6851,0.0015248,0.0015248,0.0015248
14,2230.72,1.74864,2.21641,1.79452,0.01381,0.12306,0.00819,0.00262,3.45912,3.93517,2.59497,0.0014852,0.0014852,0.0014852
15,2310.97,1.70988,2.18099,1.75166,0.00677,0.06011,0.00376,0.00123,3.58375,4.47883,2.66076,0.0014456,0.0014456,0.0014456
16,2392.79,1.67379,2.15331,1.7717,0.01299,0.02405,0.00427,0.00131,3.69457,4.33426,2.84124,0.001406,0.001406,0.001406
17,2473.05,1.65652,2.10032,1.76058,0.01024,0.08769,0.00595,0.00195,3.64942,4.11285,2.76842,0.0013664,0.0013664,0.0013664
18,2551.91,1.64112,2.11849,1.74016,0.01153,0.09972,0.0068,0.00211,3.68591,3.95037,2.91513,0.0013268,0.0013268,0.0013268
19,2632.07,1.65057,2.04687,1.73672,0.01154,0.10184,0.0071,0.00232,3.65053,3.95504,2.86418,0.0012872,0.0012872,0.0012872
20,2711.73,1.67658,2.07616,1.76904,0.01319,0.11669,0.00877,0.00283,3.59,3.77586,2.78722,0.0012476,0.0012476,0.0012476
21,2790.73,1.65174,2.02336,1.73148,0.01449,0.12447,0.00949,0.00304,3.65938,3.62591,2.90809,0.001208,0.001208,0.001208
22,2870.1,1.68458,2.06943,1.7614,0.00742,0.06294,0.00424,0.00126,3.8537,4.04659,3.02588,0.0011684,0.0011684,0.0011684
23,2949.4,1.57333,1.92829,1.68726,0.02273,0.02546,0.00536,0.00154,3.73673,4.18099,2.89251,0.0011288,0.0011288,0.0011288
24,3028.84,1.48832,1.84607,1.58958,0.00886,0.02546,0.00326,0.00094,3.74899,4.35122,2.83603,0.0010892,0.0010892,0.0010892
25,3108.16,1.52833,1.90387,1.66953,0.00598,0.04173,0.00331,0.00093,3.78923,4.27905,2.85288,0.0010496,0.0010496,0.0010496
26,3188.36,1.57733,1.99435,1.68281,0.01166,0.10042,0.00731,0.00229,3.70484,3.68699,2.81488,0.00101,0.00101,0.00101
27,3267.59,1.53878,1.93625,1.6662,0.03022,0.07214,0.01249,0.00385,3.68573,3.26325,2.80283,0.0009704,0.0009704,0.0009704
28,3346.93,1.46996,1.85666,1.63236,0.03325,0.02475,0.00826,0.00251,3.76737,3.82463,2.7959,0.0009308,0.0009308,0.0009308
29,3427.42,1.54695,1.91666,1.66138,0.01174,0.09901,0.00788,0.0024,3.75728,3.82475,2.79478,0.0008912,0.0008912,0.0008912
30,3507.11,1.54723,1.83556,1.65694,0.05002,0.04173,0.01526,0.00561,3.68107,3.37635,2.73786,0.0008516,0.0008516,0.0008516
31,3586.78,1.49696,1.79856,1.59004,0.04455,0.04031,0.01369,0.00433,3.6872,3.4276,2.77908,0.000812,0.000812,0.000812
32,3667.71,1.47029,1.71357,1.5484,0.03843,0.02192,0.00786,0.00247,3.78065,3.76043,2.89341,0.0007724,0.0007724,0.0007724
33,3746.23,1.51499,1.84598,1.62767,0.00947,0.07779,0.00576,0.00189,3.72303,3.90343,2.82037,0.0007328,0.0007328,0.0007328
34,3825.41,1.41842,1.75102,1.5479,0.02963,0.03536,0.00886,0.00268,3.56534,3.72775,2.67601,0.0006932,0.0006932,0.0006932
35,3904.48,1.43176,1.82293,1.59419,0.04708,0.0297,0.00904,0.00251,3.57005,3.76227,2.68077,0.0006536,0.0006536,0.0006536
36,3983.9,1.45608,1.72447,1.54075,0.00733,0.0488,0.00445,0.00117,3.65392,4.02679,2.73565,0.000614,0.000614,0.000614
37,4064.5,1.30916,1.59786,1.48974,0.00894,0.06223,0.00585,0.00173,3.58903,4.01696,2.6707,0.0005744,0.0005744,0.0005744
38,4146.54,1.41225,1.66265,1.56441,0.00931,0.05941,0.00546,0.00172,3.60854,4.14268,2.69259,0.0005348,0.0005348,0.0005348
39,4226.13,1.41829,1.67806,1.544,0.00908,0.06011,0.00532,0.00166,3.63283,4.14853,2.70236,0.0004952,0.0004952,0.0004952
40,4306.64,1.42222,1.76043,1.59499,0.04132,0.02475,0.00999,0.00301,3.65162,3.76502,2.72203,0.0004556,0.0004556,0.0004556
41,4394.35,1.54952,2.13038,1.7155,0.0408,0.02192,0.00811,0.00246,3.68422,3.72214,2.75951,0.000416,0.000416,0.000416
42,4485.09,1.47708,1.92096,1.64896,0.04274,0.03253,0.00769,0.00238,3.64771,3.74893,2.73148,0.0003764,0.0003764,0.0003764
43,4574.57,1.40773,1.83745,1.59854,0.03452,0.04102,0.00715,0.00219,3.65974,3.77221,2.7529,0.0003368,0.0003368,0.0003368
44,4663.44,1.38557,1.91414,1.60799,0.03766,0.03748,0.00827,0.00252,3.6392,3.71795,2.74944,0.0002972,0.0002972,0.0002972
45,4752.61,1.38621,1.80309,1.56358,0.04081,0.03465,0.00818,0.00245,3.65066,3.69007,2.75784,0.0002576,0.0002576,0.0002576
46,4845.97,1.43797,1.84969,1.60112,0.04422,0.029,0.0086,0.00256,3.6464,3.71028,2.76659,0.000218,0.000218,0.000218
47,4936.87,1.31541,1.73525,1.58626,0.03715,0.02687,0.00834,0.00263,3.6284,3.77261,2.74642,0.0001784,0.0001784,0.0001784
48,5834.62,1.32661,1.72426,1.54831,0.03832,0.02475,0.00764,0.00248,3.61366,3.84817,2.71745,0.0001388,0.0001388,0.0001388
49,5924.56,1.34271,1.69385,1.55946,0.03574,0.02546,0.00744,0.00249,3.61072,3.8765,2.7081,9.92e-05,9.92e-05,9.92e-05
50,6014.77,1.39624,1.73464,1.56748,0.03329,0.01697,0.00718,0.00244,3.60166,3.91571,2.69276,5.96e-05,5.96e-05,5.96e-05
