epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.90735,0.70832,0.88095,1,0.42866,0.0001667,0.0001667,0.0001667
2,13.5985,0.41982,0.95238,1,0.19472,0.000343139,0.000343139,0.000343139
3,18.7947,0.2601,1,1,0.06264,0.000512316,0.000512316,0.000512316
4,23.8099,0.2209,0.97619,1,0.0539,0.000674231,0.000674231,0.000674231
5,28.8563,0.21272,0.85714,1,0.21716,0.000828886,0.000828886,0.000828886
6,33.8198,0.13556,0.95238,1,0.04144,0.000976279,0.000976279,0.000976279
7,38.8862,0.17832,1,1,0.00062,0.00111641,0.00111641,0.00111641
8,43.9593,0.13052,1,1,0.02441,0.00124928,0.00124928,0.00124928
