epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.52785,0.63006,0.90476,1,0.2913,0.00030006,0.00030006,0.00030006
2,15.7829,0.41923,0.97619,1,0.10262,0.000604578,0.000604578,0.000604578
3,21.5767,0.43636,0.95238,1,0.09393,0.000896553,0.000896553,0.000896553
4,27.2417,0.32948,0.92857,1,0.16205,0.00117599,0.00117599,0.00117599
5,32.7635,0.35797,0.97619,1,0.10493,0.00144288,0.00144288,0.00144288
6,38.4837,0.23724,0.95238,1,0.07603,0.00150197,0.00150197,0.00150197
7,43.7301,0.2344,0.97619,1,0.04655,0.00146896,0.00146896,0.00146896
8,49.0153,0.20788,1,1,0.02226,0.00143595,0.00143595,0.00143595
9,54.386,0.27988,0.92857,1,0.08655,0.00140295,0.00140295,0.00140295
10,59.5222,0.30037,0.83333,1,0.32701,0.00136994,0.00136994,0.00136994
11,64.9058,0.29131,0.85714,1,0.28848,0.00133693,0.00133693,0.00133693
12,70.116,0.23837,0.90476,1,0.23825,0.00130393,0.00130393,0.00130393
13,75.4789,0.09401,0.92857,1,0.22502,0.00127092,0.00127092,0.00127092
14,80.6204,0.21495,0.92857,1,0.21929,0.00123791,0.00123791,0.00123791
15,85.9688,0.34714,0.95238,1,0.09092,0.00120491,0.00120491,0.00120491
16,91.4414,0.15626,0.97619,1,0.06455,0.0011719,0.0011719,0.0011719
17,96.8041,0.20939,1,1,0.02887,0.00113889,0.00113889,0.00113889
18,101.859,0.15892,1,1,0.0253,0.00110589,0.00110589,0.00110589
