epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,13.3542,0.60774,0.64286,1,0.6767,0.0001667,0.0001667,0.0001667
2,25.7154,0.34411,0.88095,1,0.18986,0.000343139,0.000343139,0.000343139
3,36.7287,0.17659,0.90476,1,0.20158,0.000512316,0.000512316,0.000512316
4,47.5797,0.22456,0.95238,1,0.06511,0.000674231,0.000674231,0.000674231
5,58.4438,0.16861,0.90476,1,0.54974,0.000828886,0.000828886,0.000828886
6,69.3233,0.24378,0.92857,1,0.25731,0.000976279,0.000976279,0.000976279
7,80.1717,0.16528,0.97619,1,0.05146,0.00111641,0.00111641,0.00111641
8,91.1862,0.17066,0.88095,1,0.3631,0.00124928,0.00124928,0.00124928
9,102.027,0.22091,0.85714,1,0.2872,0.00137489,0.00137489,0.00137489
10,113.132,0.24371,0.92857,1,0.24787,0.00136994,0.00136994,0.00136994
11,124.046,0.27617,0.80952,1,0.45197,0.00133693,0.00133693,0.00133693
12,135.02,0.17357,1,1,0.00895,0.00130393,0.00130393,0.00130393
13,145.955,0.2862,0.78571,1,0.78583,0.00127092,0.00127092,0.00127092
14,156.974,0.19827,0.97619,1,0.13056,0.00123791,0.00123791,0.00123791
15,167.921,0.20014,0.69048,1,0.77291,0.00120491,0.00120491,0.00120491
16,178.969,0.19647,0.97619,1,0.07648,0.0011719,0.0011719,0.0011719
17,189.784,0.244,1,1,0.07808,0.00113889,0.00113889,0.00113889
