epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.08689,0.73309,0.85714,1,0.3894,0.00015003,0.00015003,0.00015003
2,11.9183,0.4211,0.97619,1,0.11209,0.000310459,0.000310459,0.000310459
3,17.4833,0.24661,0.97619,1,0.04438,0.000464286,0.000464286,0.000464286
4,22.9837,0.17909,1,1,0.02573,0.000611512,0.000611512,0.000611512
5,28.4982,0.19266,0.97619,1,0.06455,0.000752137,0.000752137,0.000752137
6,34.0841,0.22816,0.95238,1,0.18084,0.000886161,0.000886161,0.000886161
7,39.612,0.22735,0.95238,1,0.03263,0.00101358,0.00101358,0.00101358
8,45.0542,0.14112,0.97619,1,0.01363,0.0011344,0.0011344,0.0011344
9,50.477,0.21066,0.95238,1,0.07597,0.00124862,0.00124862,0.00124862
10,55.9593,0.22449,0.92857,1,0.11317,0.00135624,0.00135624,0.00135624
11,61.2923,0.16997,0.95238,1,0.04899,0.00133693,0.00133693,0.00133693
12,66.7035,0.11057,0.95238,1,0.25261,0.00130393,0.00130393,0.00130393
13,72.0183,0.13008,0.90476,1,0.14518,0.00127092,0.00127092,0.00127092
14,77.3907,0.05526,0.90476,1,0.14049,0.00123791,0.00123791,0.00123791
15,82.8263,0.05486,0.95238,1,0.07924,0.00120491,0.00120491,0.00120491
16,88.1746,0.11487,0.97619,1,0.11757,0.0011719,0.0011719,0.0011719
17,93.5725,0.08802,0.92857,1,0.08033,0.00113889,0.00113889,0.00113889
18,99.0965,0.0538,0.97619,1,0.11386,0.00110589,0.00110589,0.00110589
19,104.595,0.28206,0.97619,1,0.03701,0.00107288,0.00107288,0.00107288
20,110.368,0.11109,0.97619,1,0.02498,0.00103987,0.00103987,0.00103987
21,115.914,0.09756,1,1,0.01405,0.00100687,0.00100687,0.00100687
22,121.309,0.12045,1,1,0.01014,0.000973861,0.000973861,0.000973861
23,126.881,0.14215,1,1,0.00356,0.000940855,0.000940855,0.000940855
24,132.331,0.09826,0.97619,1,0.08208,0.000907848,0.000907848,0.000907848
25,137.881,0.14903,0.97619,1,0.05793,0.000874842,0.000874842,0.000874842
26,143.345,0.05834,1,1,0.00505,0.000841835,0.000841835,0.000841835
27,148.959,0.16094,1,1,0.00574,0.000808828,0.000808828,0.000808828
28,154.435,0.05555,1,1,0.00513,0.000775822,0.000775822,0.000775822
29,159.963,0.06112,0.97619,1,0.02792,0.000742815,0.000742815,0.000742815
30,165.411,0.04462,0.97619,1,0.04118,0.000709809,0.000709809,0.000709809
31,170.878,0.13266,0.95238,1,0.04849,0.000676802,0.000676802,0.000676802
32,176.206,0.12343,1,1,0.01364,0.000643795,0.000643795,0.000643795
33,181.704,0.15671,1,1,0.01335,0.000610789,0.000610789,0.000610789
34,187.72,0.04737,0.95238,1,0.10682,0.000577782,0.000577782,0.000577782
35,193.167,0.06621,0.95238,1,0.08214,0.000544776,0.000544776,0.000544776
36,198.717,0.06746,0.95238,1,0.0631,0.000511769,0.000511769,0.000511769
37,204.128,0.03477,0.92857,1,0.11756,0.000478762,0.000478762,0.000478762
38,209.531,0.03703,0.92857,1,0.12952,0.000445756,0.000445756,0.000445756
39,214.935,0.06644,0.92857,1,0.25647,0.000412749,0.000412749,0.000412749
40,220.446,0.11304,0.92857,1,0.54677,0.000379743,0.000379743,0.000379743
41,225.961,0.06625,0.92857,1,0.08425,0.000346736,0.000346736,0.000346736
42,231.582,0.0399,0.92857,1,0.06595,0.000313729,0.000313729,0.000313729
43,237.252,0.20677,0.92857,1,0.06645,0.000280723,0.000280723,0.000280723
44,242.717,0.04369,0.92857,1,0.05534,0.000247716,0.000247716,0.000247716
45,248.168,0.04895,0.90476,1,0.10694,0.00021471,0.00021471,0.00021471
46,253.657,0.05012,0.92857,1,0.23371,0.000181703,0.000181703,0.000181703
47,259.238,0.03669,0.92857,1,0.07257,0.000148696,0.000148696,0.000148696
48,264.733,0.02847,0.95238,1,0.04352,0.00011569,0.00011569,0.00011569
49,270.469,0.02869,0.92857,1,0.0632,8.26832e-05,8.26832e-05,8.26832e-05
50,277.197,0.07007,0.95238,1,0.0496,4.96766e-05,4.96766e-05,4.96766e-05
