epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.30011,0.64257,0.875,1,0.29849,0.00043342,0.00043342,0.00043342
2,14.8436,0.42515,0.93229,1,0.17009,0.000866017,0.000866017,0.000866017
3,22.1684,0.37394,0.97396,1,0.07353,0.00128079,0.00128079,0.00128079
4,30.1132,0.30453,0.98438,1,0.03862,0.00156798,0.00156798,0.00156798
5,36.5508,0.22678,0.98438,1,0.05163,0.00153497,0.00153497,0.00153497
6,44.0393,0.25578,0.96875,1,0.08297,0.00150197,0.00150197,0.00150197
7,50.2578,0.38603,0.98438,1,0.04587,0.00146896,0.00146896,0.00146896
8,57.5836,0.22799,0.96354,1,0.1109,0.00143595,0.00143595,0.00143595
9,63.9349,0.26134,0.95833,1,0.14069,0.00140295,0.00140295,0.00140295
10,70.7002,0.30198,0.98438,1,0.05104,0.00136994,0.00136994,0.00136994
11,77.3741,0.16706,0.99479,1,0.03682,0.00133693,0.00133693,0.00133693
12,84.9467,0.22979,0.99479,1,0.03095,0.00130393,0.00130393,0.00130393
13,92.192,0.2384,0.98958,1,0.05196,0.00127092,0.00127092,0.00127092
14,99.6534,0.33324,0.99479,1,0.03227,0.00123791,0.00123791,0.00123791
15,106.517,0.23637,0.98958,1,0.02172,0.00120491,0.00120491,0.00120491
16,113.743,0.28061,0.98958,1,0.03145,0.0011719,0.0011719,0.0011719
17,121.301,0.24142,0.97917,1,0.05789,0.00113889,0.00113889,0.00113889
18,128.393,0.19219,0.98958,1,0.0675,0.00110589,0.00110589,0.00110589
19,136.057,0.23571,0.98438,1,0.07185,0.00107288,0.00107288,0.00107288
20,143.425,0.19337,0.97917,1,0.07036,0.00103987,0.00103987,0.00103987
21,150.198,0.20177,0.97917,1,0.06889,0.00100687,0.00100687,0.00100687
