epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,10.6571,0.74991,0.85714,1,0.44917,0.0001667,0.0001667,0.0001667
2,21.8078,0.45183,0.92857,1,0.21907,0.000349728,0.000349728,0.000349728
3,31.5797,0.37766,0.92857,1,0.12623,0.000531358,0.000531358,0.000531358
4,41.3819,0.28908,0.92857,1,0.19966,0.000710525,0.000710525,0.000710525
5,51.1237,0.2776,0.83333,1,0.34941,0.000886181,0.000886181,0.000886181
6,60.7106,0.2103,0.78571,1,0.31234,0.0010573,0.0010573,0.0010573
7,70.8656,0.2552,1,1,0.04084,0.00122288,0.00122288,0.00122288
8,80.7297,0.29603,0.85714,1,0.35017,0.00138197,0.00138197,0.00138197
9,90.3169,0.19005,0.83333,1,0.25674,0.00153363,0.00153363,0.00153363
10,100.564,0.22991,0.80952,1,0.72043,0.00153854,0.00153854,0.00153854
11,110.654,0.22444,1,1,0.04434,0.00150941,0.00150941,0.00150941
12,120.593,0.10264,1,1,0.11496,0.00147764,0.00147764,0.00147764
13,131.144,0.21763,0.7381,1,0.52396,0.00144335,0.00144335,0.00144335
14,143.277,0.10777,0.97619,1,0.07507,0.0014067,0.0014067,0.0014067
